,subject,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20,question_21,question_22,question_23,question_24,question_25,question_26,question_27,question_28,question_29,question_30,question_31,question_32,question_33,question_34,question_35,question_36,question_37,question_38,question_39,question_40,question_41,question_42,question_43,question_44,question_45,question_46,question_47,question_48,question_49,question_50,question_51,question_52,question_53,question_54,question_55,question_56,question_57,question_58,question_59,question_60
41,100,3,1,1,3,1,1,3,3,3,1,3,1,3,3,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,3,1,3,3,3,1,3,1,3,3,2
42,101,1,1,3,3,2,1,3,3,3,1,3,1,3,3,1,3,3,3,3,3,1,1,1,3,1,3,3,2,3,1,3,1,1,3,3,1,2,3,3,3,1,3,3,3,1,3,3,3,3,2,1,2,3,3,1,3,1,3,3,2
43,103,3,1,3,3,1,3,3,3,3,3,3,1,3,1,3,3,1,3,1,3,3,1,3,1,1,3,1,1,1,1,3,3,1,1,3,3,1,3,3,3,3,1,3,3,1,3,3,1,3,3,3,3,3,3,1,3,1,1,3,3
44,107,3,1,1,3,3,3,3,1,3,3,3,1,3,3,1,3,3,3,3,4,3,3,3,3,1,3,1,3,1,1,3,3,3,3,4,3,3,3,3,3,3,1,3,3,1,3,3,1,3,3,3,3,4,3,1,3,1,3,3,4
45,109,3,3,3,3,1,3,3,3,3,1,3,1,3,3,1,3,3,3,1,1,3,3,3,3,1,3,1,3,3,1,3,3,1,1,1,3,1,3,3,1,3,1,3,3,1,1,3,1,2,1,3,3,2,3,1,3,1,1,3,1
46,111,3,1,3,3,1,1,3,3,3,2,3,1,3,3,3,1,3,3,3,3,3,2,3,3,1,1,3,3,3,1,3,3,1,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,3,1,3,4,3,1,3,1,3,3,3
47,115,3,1,1,3,3,1,1,1,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,1,3,1,3,3,1,3,3,1,2,3,2,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,1,1,3,3
48,116,3,3,3,3,3,3,3,1,3,3,3,1,3,1,3,1,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,3,1,3,3,3,3,3,1,3,3,1,3,1,1,1,3,1,3,3,3,3,3,3,1,3,1,3,3,3
49,117,3,3,1,3,1,1,3,3,3,1,3,1,3,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,1,1,3,1,3,3,1,3,3,3,3,1,3,3,3,1,1,3,1,3,3,1,3,3,3,1,3,1,3,3,3
50,118,3,1,3,3,1,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,1,3,3,1,2,3,3,3,3,3,3,3,1,1,3,1,3,1,3,3,3,3,1,3,3,3,3,3
51,124,3,1,3,3,1,3,3,3,3,1,3,1,3,3,1,3,1,3,3,3,3,1,3,3,1,3,1,3,3,1,3,1,3,1,1,3,1,3,3,3,3,1,3,3,1,3,3,1,2,1,3,1,2,3,1,3,1,1,4,1
52,125,3,1,3,3,1,1,3,3,3,1,3,1,3,3,1,3,1,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,1,3,3,1,3,3,3,1,1,2,3,3,1,3,3,1,3,2,3,3,3,3,1,3,1,3,3,2
53,129,3,1,3,3,1,1,3,3,3,1,3,1,3,3,1,3,1,3,3,3,3,3,3,3,1,3,1,3,3,1,3,3,1,3,3,1,2,2,3,3,1,1,3,3,1,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3
54,130,3,1,3,3,1,1,3,1,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,1,3,3,1,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3
55,133,3,3,3,3,1,1,3,3,3,1,3,1,3,3,1,1,3,3,3,3,1,3,3,3,1,1,3,3,3,1,1,3,1,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3
56,134,3,3,3,3,1,1,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,1,3,3,3,3,1,3,3,3,1,1,3,3,3,3,1,3,3,3,1,3,3,3,3,3
57,136,1,1,1,3,3,3,3,3,3,3,3,1,3,3,1,1,1,3,3,3,3,3,3,3,1,3,1,3,3,1,1,1,3,3,3,1,3,3,3,3,3,1,3,3,1,1,3,1,3,3,3,3,3,3,1,3,1,3,3,2
58,138,1,3,3,3,1,1,3,3,3,1,3,1,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,1,1,3,2,1,3,3,3,1,1,3,3,3,1,3,3,3,3,2,3,3,3,3,1,3,1,3,3,2
59,141,3,1,3,3,1,1,3,1,3,2,3,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,3,1,3,3,1,3,3,3,3,3,3,3,3,1,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3
