,subject,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20,question_21,question_22,question_23,question_24,question_25,question_26,question_27,question_28,question_29,question_30,question_31,question_32,question_33,question_34,question_35,question_36,question_37,question_38,question_39,question_40,question_41,question_42,question_43,question_44,question_45,question_46,question_47,question_48,question_49,question_50,question_51,question_52,question_53,question_54,question_55,question_56,question_57,question_58,question_59,question_60
18,62,4,3,3,3,3,2,3,3,3,3,2,0,3,3,1,1,3,3,3,3,3,3,2,4,3,1,3,2,3,1,3,0,0,3,3,1,3,3,3,3,2,1,2,3,1,1,3,1,3,3,1,3,3,3,3,2,1,3,3,3
19,63,3,1,1,3,2,3,1,3,0,1,3,0,2,1,1,1,2,3,3,1,3,1,1,2,1,2,3,1,3,0,4,1,1,3,3,3,1,3,3,1,3,0,2,3,0,3,4,0,3,1,3,3,1,4,0,4,1,1,4,1
20,65,4,2,1,3,1,2,2,1,3,3,3,0,2,1,3,3,1,3,4,4,3,2,3,1,3,1,1,2,1,1,3,1,0,3,3,3,2,4,3,3,3,1,3,1,1,3,4,1,4,3,1,3,3,3,1,2,1,2,4,3
21,9,4,3,3,3,2,3,3,3,4,1,3,1,3,2,1,1,4,3,3,3,3,3,3,3,1,1,3,3,3,1,4,3,0,3,3,1,4,1,4,3,2,3,2,3,1,1,3,1,3,1,1,3,4,4,1,3,1,2,4,3
22,16,4,2,1,2,3,2,1,1,4,2,3,0,4,3,3,3,1,3,3,3,3,1,4,1,3,0,2,1,2,1,3,1,1,2,3,2,3,4,3,3,1,3,3,1,1,3,3,0,4,3,1,3,3,4,1,1,1,1,4,3
23,19,3,1,3,3,2,2,3,3,3,1,3,1,4,1,1,1,2,3,3,3,2,3,3,1,1,1,1,2,1,1,3,3,1,2,3,1,3,3,3,3,1,1,2,3,1,1,3,4,3,1,1,3,4,4,1,2,1,3,4,3
24,66,3,3,1,3,3,3,1,3,3,3,3,1,2,3,3,1,4,2,3,3,3,3,1,2,3,0,3,2,2,1,4,0,3,3,3,1,3,3,3,3,1,1,1,3,1,1,3,0,3,3,1,3,1,3,1,2,1,1,4,3
25,68,4,2,3,2,3,0,3,3,4,1,1,1,3,3,1,1,2,3,2,2,1,3,0,3,1,0,2,2,3,2,0,3,0,2,2,2,2,4,3,3,1,1,1,3,2,1,3,0,3,3,0,3,4,4,1,2,0,3,3,3
26,71,3,3,2,2,2,3,1,3,3,1,3,1,2,1,1,3,3,3,3,3,3,3,3,2,1,1,3,2,1,1,4,1,0,3,3,1,3,4,4,1,3,1,1,2,1,3,4,3,3,3,3,4,3,3,1,3,1,1,3,2
27,72,3,3,3,3,2,2,1,1,3,3,3,1,2,1,1,3,3,3,3,3,3,1,1,4,3,3,1,2,3,1,3,0,0,3,3,2,1,3,3,1,3,1,1,3,1,4,4,0,3,3,1,3,2,4,1,2,1,1,4,3
28,73,4,1,1,1,1,3,1,3,4,1,3,0,1,2,1,4,1,3,2,2,3,0,1,2,1,2,3,1,1,1,4,1,0,2,2,1,0,2,3,1,3,1,1,3,1,3,2,1,2,1,3,1,2,4,2,3,1,1,4,1
29,74,3,1,1,2,2,0,2,1,3,3,3,1,3,2,3,1,1,3,3,4,3,1,1,2,3,1,1,1,2,3,1,1,3,2,4,2,1,3,1,3,0,1,1,1,3,1,4,1,2,4,1,3,4,3,1,0,1,4,4,4
30,75,1,1,3,3,2,2,2,3,3,3,2,1,3,2,1,1,1,3,3,1,1,1,1,2,1,2,1,2,2,1,1,1,0,3,3,1,3,2,3,1,1,3,0,2,1,1,1,1,3,3,2,1,4,2,1,2,1,2,4,2
31,76,4,1,1,3,2,4,3,1,3,1,4,0,2,4,1,3,1,2,3,3,4,1,3,2,1,3,1,2,1,1,4,1,0,1,3,3,1,3,1,3,3,1,1,3,1,3,3,1,3,3,3,1,2,3,1,3,1,1,3,3
32,77,4,2,1,3,2,3,3,1,3,1,3,1,3,3,1,1,3,3,3,3,3,1,0,3,1,3,2,1,1,1,4,1,0,3,3,2,3,2,4,1,3,1,2,3,1,1,3,1,4,1,1,3,3,3,1,3,1,1,4,3
33,78,3,1,2,2,2,3,1,3,3,1,3,1,3,2,1,1,2,3,3,3,4,1,3,2,1,1,1,2,2,1,3,1,0,3,3,1,2,3,4,1,3,1,3,3,1,1,3,1,3,3,3,1,3,4,1,3,1,2,4,3
34,80,4,3,4,4,2,3,3,1,3,1,4,0,3,3,1,3,3,3,3,3,3,1,3,4,2,3,3,2,2,1,4,1,1,2,4,3,3,3,4,3,3,0,3,3,1,3,4,4,4,3,1,3,4,4,1,3,1,3,4,3
35,82,3,1,1,2,2,1,3,1,4,3,1,1,2,3,4,0,2,3,2,4,1,3,2,3,3,0,1,2,2,3,3,1,0,2,3,1,3,2,3,3,1,1,2,3,1,1,3,0,3,3,0,3,4,3,3,0,1,1,4,3
36,89,3,1,3,1,1,3,3,4,2,0,3,1,2,2,0,4,1,2,2,3,3,1,1,2,1,2,2,2,2,1,4,0,3,2,1,1,1,3,3,1,3,1,1,3,1,3,3,1,2,1,3,1,1,4,1,2,1,1,3,3
37,90,3,1,3,1,2,3,3,3,3,1,3,1,1,3,1,4,1,3,2,1,3,1,1,0,1,2,1,1,1,1,3,0,0,2,1,4,0,3,3,1,3,1,1,3,1,3,1,1,1,1,1,2,3,3,0,1,1,0,3,1
38,97,4,2,3,3,2,2,2,1,3,1,3,0,2,3,1,1,3,3,3,3,3,1,1,3,0,2,3,1,3,1,3,0,0,3,3,2,3,4,3,1,3,1,2,4,1,3,3,1,3,1,1,2,3,3,1,1,2,2,4,2
39,98,3,3,3,2,2,2,1,2,3,1,3,1,2,2,1,1,3,3,3,3,3,3,1,4,1,1,3,2,2,1,3,1,3,3,3,1,3,3,3,2,2,3,3,3,1,1,3,1,2,1,0,3,1,3,1,3,1,1,4,1
40,99,3,3,3,3,2,1,1,1,4,3,3,1,3,3,1,3,3,2,3,3,3,3,1,3,0,3,3,2,1,1,4,0,0,3,3,3,1,4,3,3,3,1,1,4,1,1,3,1,3,3,1,3,2,3,1,3,1,1,4,3
41,100,3,2,3,3,2,3,2,3,3,1,3,0,3,3,0,1,3,3,3,1,3,3,3,1,1,2,3,2,1,1,3,1,0,3,2,1,3,3,3,1,3,1,3,3,1,1,3,1,3,2,2,3,4,3,1,2,1,3,4,1
42,101,4,2,3,2,2,1,3,3,3,1,3,1,3,4,1,3,1,3,2,1,3,1,4,3,1,2,2,2,3,1,1,1,0,2,2,2,1,2,3,1,2,1,2,3,1,3,3,0,3,1,2,1,2,4,1,2,1,2,3,1
43,103,4,1,1,1,1,3,1,3,3,3,3,0,1,1,1,3,2,1,2,3,3,1,1,1,3,2,3,2,1,1,4,0,3,2,3,3,1,2,2,3,3,3,1,0,1,3,1,1,3,3,0,1,1,3,1,3,1,0,4,3
44,107,4,1,3,2,1,4,1,3,3,1,4,0,2,3,1,4,3,3,3,3,4,1,3,1,3,3,3,1,1,1,4,1,0,3,3,1,0,3,4,3,3,0,3,4,1,4,3,0,3,3,3,1,3,3,2,3,1,1,4,3
45,109,4,2,3,1,2,2,2,3,3,0,4,1,2,1,0,3,1,3,2,0,4,1,1,1,0,1,3,1,1,1,4,1,0,1,1,2,0,2,3,1,3,0,1,4,1,4,3,1,1,1,2,1,1,3,1,2,1,1,4,1
46,111,4,3,3,3,2,1,3,3,4,3,3,0,2,3,1,0,3,3,3,3,3,1,1,1,2,1,3,2,2,1,3,1,0,3,3,1,3,4,3,3,2,3,3,3,1,0,4,3,3,3,1,4,3,4,1,0,1,4,4,3
47,115,3,1,1,2,1,2,2,0,3,3,3,1,2,2,4,1,1,2,3,3,4,1,1,4,3,2,1,1,2,1,3,0,0,2,3,1,1,3,3,3,3,1,0,2,3,1,4,1,3,3,1,4,2,3,3,2,1,1,4,4
48,116,4,1,3,3,3,3,1,4,2,1,3,0,3,3,0,3,3,3,3,3,3,1,3,1,1,3,1,2,1,1,4,3,1,3,2,3,1,2,3,3,3,1,2,3,1,3,1,4,3,3,0,3,4,3,1,3,1,3,3,2
49,117,3,3,3,3,1,2,2,3,4,1,3,1,2,1,1,1,3,4,3,3,3,3,1,4,1,2,3,2,3,1,3,1,0,3,3,1,3,2,4,1,2,3,2,3,1,3,3,1,3,3,1,3,3,4,1,1,1,1,4,3
50,118,3,1,1,3,2,3,2,3,3,1,3,0,2,2,1,3,2,1,3,3,4,3,2,2,1,2,1,2,1,1,4,1,0,2,3,3,2,3,3,1,3,1,1,3,1,3,4,1,3,3,1,3,1,3,1,3,1,1,3,3
51,124,4,0,3,2,1,3,3,3,1,1,2,1,1,2,0,1,1,2,2,1,3,1,2,3,1,3,1,1,2,0,4,0,0,2,3,3,0,3,3,1,3,0,1,3,1,3,3,1,1,1,2,1,2,3,0,2,1,1,2,3
52,125,1,1,1,3,2,2,2,3,3,1,3,1,2,2,0,1,2,2,2,3,1,1,1,2,1,1,1,2,2,1,1,0,0,2,3,1,2,2,3,1,3,2,1,4,1,1,3,1,2,1,0,3,3,4,1,1,1,1,3,3
53,129,4,1,1,2,2,1,2,3,2,1,3,0,3,2,1,1,2,2,3,3,3,3,1,2,1,2,1,1,2,1,1,1,0,3,3,2,1,2,3,1,3,1,1,3,1,1,3,1,3,1,1,3,4,3,0,1,1,2,4,3
54,130,3,1,3,3,2,1,3,3,3,2,3,1,4,3,1,2,1,3,3,3,3,3,3,3,1,0,1,2,1,2,3,3,0,3,3,3,3,3,1,3,1,1,1,3,1,1,3,3,3,3,1,3,3,3,1,2,1,3,3,4
55,133,1,3,1,3,2,1,3,3,4,1,1,1,3,3,1,1,3,3,3,3,1,3,1,4,1,0,2,3,3,1,1,3,0,3,3,1,4,3,4,1,1,3,3,3,1,1,4,3,3,3,0,3,3,4,1,3,1,3,3,3
56,134,1,3,3,2,2,1,3,1,3,3,3,1,3,1,3,3,3,2,3,3,3,4,2,3,3,0,3,2,2,1,3,3,1,3,3,1,4,2,3,3,1,4,1,2,3,1,4,1,3,3,0,4,2,3,3,1,1,1,3,3
57,136,4,1,2,2,1,3,2,3,4,1,3,1,2,3,1,3,1,1,2,1,3,1,1,4,1,2,1,2,1,1,3,1,0,2,2,1,1,3,3,3,3,1,2,3,1,3,1,1,3,1,1,1,2,4,1,3,1,1,4,3
58,138,1,2,3,2,1,2,3,3,3,1,3,1,4,3,1,2,1,3,2,1,3,1,4,3,0,2,1,3,2,1,3,0,0,2,1,2,1,3,4,2,3,1,3,3,1,1,3,1,2,1,1,1,3,4,1,2,1,2,4,1
59,141,1,1,3,3,1,1,3,3,3,1,3,1,2,2,1,1,3,3,3,3,3,3,2,2,1,1,1,3,1,1,2,1,0,3,3,2,3,4,3,1,3,4,2,2,1,3,3,1,3,1,1,3,4,3,1,3,1,2,3,2
